scope                src   src_port  tgt   tgt_port  batch  sent         recvd
[0]                  1     0         2     0         0      2            2
[0]                  2     0         3     0         0      2            3
[0]                  3     0         4     0         1      1            1
[0]                  4     0         9     0         0      3            3
[0]                  5     0         6     0         0      10007        10007
[0]                  6     0         7     0         0      10007        10059
[0]                  7     0         8     0         1      1            1
[0]                  8     0         12    0         0      10034        10034
[0]                  9     0         10    0         0      3            3
[0]                  10    0         11    0         1      1            1
[0]                  11    0         14    1         0      3            3
[0]                  12    0         13    0         0      10034        9939
[0]                  13    0         14    0         1      1            1
[0]                  14    0         15    0         0      1000         1000
[0]                  15    0         16    0         0      1000         1000
[0]                  16    0         17    0         0      1000         1000
[0]                  17    0         18    0         1      1            1
[0]                  18    0         19    0         0      1000         1000
[0]                  19    0         20    0         0      1000         1000
[0]                  20    0         21    0         0      1000         1000
[0]                  21    0         22    0         0      1000         2000
[0]                  22    0         23    0         1      1            1
[0]                  23    0         24    0         0      1            1
[0, 14]              0     0         1     0         1      1            1
[0, 14]              0     1         2     0         0      3            3
[0, 14]              1     0         6     1         1      1            1
[0, 14]              2     0         7     0         0      3            3
[0, 14]              3     0         4     0         0      1000         1000
[0, 14]              4     0         5     0         0      1000         1000
[0, 14]              5     0         6     0         1      6            6
[0, 14]              6     0         7     1         0      6385         6385
[0, 14]              7     0         8     0         0      6388         6388
[0, 14]              8     0         9     0         0      6388         6331
[0, 14]              9     0         10    0         1      7            7
[0, 14]              10    0         0     0         0      1000         1000
[0, 14]              10    0         11    0         0      1000         1000
[0, 14]              11    0         3     0         0      1000         1000
